Location,StartDate,LastUpdate,Type,Description,Owner
2400 Bancroft Way,09/11/2017,06/30/2023,Commercial,"On this project at 2400 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 13 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
1500 San Pablo Ave,,,Commercial,"On this project at 1500 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Shorenstein Properties
2025 Center St,04/24/2018,12/01/2018,State / County,"On this project at 2025 Center St, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2600 10th St,04/26/2018,05/12/2023,Commercial,"On this project at 2600 10th St, Berkeley, CA 94710 there have been 1 permit filed, 3 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Emery Station Joint Venture LLC
708 Addison St,06/27/2018,07/01/2019,Commercial,"On this project at 708 Addison St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1915 4th St,01/08/2018,03/27/2023,Commercial,"On this project at 1915 4th St, Berkeley, CA 94710 there have been 1 permit filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Jamestown 
1936 University Ave,10/11/2018,05/16/2023,Commercial,"On this project at 1936 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 11 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1550 Hopkins St,05/08/2018,11/19/2019,Commercial,"On this project at 1550 Hopkins St, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
800 Dwight Way,06/02/2015,05/26/2023,Commercial,"On this project at 800 Dwight Way, Berkeley, CA 94710 there have been 3 permits filed, 66 preliminary notices  exchanged, 10 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Bayer CropScience LP
2001 4th St,07/27/2017,10/17/2018,Commercial,"On this project at 2001 4th St, Berkeley, CA 94710 there have been 0 permits filed, 10 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2120 University Ave,04/25/2018,12/15/2022,Commercial,"On this project at 2120 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2024 Durant Ave,04/25/2018,06/12/2023,Commercial,"On this project at 2024 Durant Ave, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
200 Marina Blvd,04/25/2018,11/01/2021,Commercial,"On this project at 200 Marina Blvd, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
1499 University Ave,04/24/2018,08/17/2021,Commercial,"On this project at 1499 University Ave, Berkeley, CA 94702 there have been 0 permits filed, 7 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 5 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2333 Shattuck Ave,08/07/2020,11/17/2020,Commercial,"On this project at 2333 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2539 Telegraph Ave,04/25/2018,08/13/2019,Commercial,"On this project at 2539 Telegraph Ave, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 8 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2461 Shattuck Ave,05/08/2018,10/17/2018,Commercial,"On this project at 2461 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1919 4th St,04/24/2018,07/24/2019,Commercial,"On this project at 1919 4th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Jamestown 
1974 University Ave,12/09/2015,04/26/2018,Commercial,"On this project at 1974 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 3 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Landmark Collegiate Development, LLC"
1000 Dwight Way,04/25/2018,04/26/2018,Commercial,"On this project at 1000 Dwight Way, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2631 Webster St,02/16/2019,04/17/2019,Owner Occupied Residential,"On this project at 2631 Webster St, Berkeley, CA 94705 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2150 Berkeley Sq,,,Commercial,"On this project at 2150 Berkeley Sq, Berkeley, CA 94704 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2013 2nd St,04/23/2018,04/26/2018,Commercial,"On this project at 2013 2nd St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
41 Tunnel Rd,04/23/2018,03/01/2023,Commercial,"On this project at 41 Tunnel Rd, Berkeley, CA 94705 there have been 0 permits filed, 8 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2736 Bancroft Way,04/24/2018,06/13/2022,Commercial,"On this project at 2736 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1057 Eastshore Frontage Rd,,,Residential,"On this project at 1057 Eastshore Frontage Rd, Berkeley, CA 94710 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1333 Grant St,10/29/2018,03/23/2019,Residential,"On this project at 1333 Grant St, Berkeley, CA 94703 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1414 University Ave,01/07/2014,02/15/2023,Commercial,"On this project at 1414 University Ave, Berkeley, CA 94702 there have been 1 permit filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
3243 Sacramento St,04/24/2018,03/26/2019,Commercial,"On this project at 3243 Sacramento St, Berkeley, CA 94702 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2151 Berkeley Way,04/25/2018,03/27/2023,State / County,"On this project at 2151 Berkeley Way, Berkeley, CA 94704 there have been 0 permits filed, 13 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2124 Bancroft Way,09/14/2018,04/15/2020,Commercial,"On this project at 2124 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1950 Addison St,04/23/2018,07/10/2023,Residential,"On this project at 1950 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 7 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
One Cyclotron Road,04/24/2018,07/03/2023,Federal,"On this project at One Cyclotron Road, Berkeley, CA 94720 there have been 0 permits filed, 47 preliminary notices  exchanged, 18 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
260 Tunnel Rd,04/24/2018,04/25/2018,State / County,"On this project at 260 Tunnel Rd, Berkeley, CA 94705 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Disney
2220 Piedmont Ave,04/26/2018,05/10/2023,Commercial,"On this project at 2220 Piedmont Ave, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1980 Allston Way,,,Commercial,"On this project at 1980 Allston Way, Berkeley, CA 94703 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
740 Heinz Ave,04/25/2018,01/22/2021,Commercial,"On this project at 740 Heinz Ave, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Emery Station Joint Venture LLC
300 Berkeley Park Blvd,,,,"On this project at 300 Berkeley Park Blvd, Berkeley, CA 94707 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2450 Ashby Ave,04/25/2018,06/07/2023,Commercial,"On this project at 2450 Ashby Ave, Berkeley, CA 94705 there have been 0 permits filed, 12 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1935 Addison St,03/07/2017,03/23/2020,Commercial,"On this project at 1935 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2600 Shattuck Ave,04/25/2018,05/20/2022,Commercial,"On this project at 2600 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Parker Shattuck Owner, LLC"
2012 Berkeley Sq,,,Commercial,"On this project at 2012 Berkeley Sq, Berkeley, CA 94704 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Bridge Housing Corporation
2090 Kittredge St,01/06/2020,03/06/2020,Commercial,"On this project at 2090 Kittredge St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
1000 GILMAN ST,04/26/2018,04/26/2018,Commercial,"On this project at 1000 GILMAN ST, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Donahue Schriber Realty Group
2168 Shattuck Ave,04/25/2018,08/13/2020,Commercial,"On this project at 2168 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","CSQ Fee Owner Ca, LLC"
1814 University Ave,04/26/2018,04/26/2018,Commercial,"On this project at 1814 University Ave, Berkeley, CA 94703 there have been 0 permits filed, 1 preliminary notice  exchanged, 6 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1798 Scenic Ave,02/17/2021,07/15/2021,Commercial,"On this project at 1798 Scenic Ave, Berkeley, CA 94709 there have been 0 permits filed, 4 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1947 Center St,04/25/2018,04/25/2018,State / County,"On this project at 1947 Center St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
812 Page St,04/25/2018,04/25/2018,Commercial,"On this project at 812 Page St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
199 Seawall Dr,08/03/2020,01/11/2021,Commercial,"On this project at 199 Seawall Dr, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2080 Addison St,04/26/2018,09/28/2022,Commercial,"On this project at 2080 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2107 Dwight Way,08/31/2016,05/10/2017,Commercial,"On this project at 2107 Dwight Way, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2001 Dwight Way,04/26/2018,05/16/2023,Commercial,"On this project at 2001 Dwight Way, Berkeley, CA 94704 there have been 0 permits filed, 7 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2286 Shattuck Ave,04/11/2018,01/14/2019,Commercial,"On this project at 2286 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2600 Durant Ave,04/26/2018,06/15/2023,Commercial,"On this project at 2600 Durant Ave, Berkeley, CA 94704 there have been 1 permit filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Tartine Restaurant Group LLC
824 University Ave,04/25/2018,04/26/2018,Commercial,"On this project at 824 University Ave, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2015 Shattuck Ave,04/25/2018,04/25/2018,Commercial,"On this project at 2015 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Panda Restaurant Group
2131 University Ave,04/18/2019,02/12/2020,Commercial,"On this project at 2131 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 12 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2274 Shattuck Ave,04/25/2018,01/30/2020,Commercial,"On this project at 2274 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Regal Cinemas
2118 University Ave,04/25/2018,04/26/2018,Commercial,"On this project at 2118 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 1 preliminary notice  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Blue Bottle Coffee (CA)
2748 San Pablo Ave,,,Commercial,"On this project at 2748 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Satellite Affordable Housing Associates (SAHA)
2909 Avalon Ave,04/23/2018,03/15/2019,Residential,"On this project at 2909 Avalon Ave, Berkeley, CA 94705 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1785 4th St,06/29/2018,03/07/2019,Commercial,"On this project at 1785 4th St, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Amazon
1394 Queens Rd,03/27/2013,04/26/2018,Owner Occupied Residential,"On this project at 1394 Queens Rd, Berkeley, CA 94708 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2495 Bancroft Way,,,State / County,"On this project at 2495 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1 Cyclotron Rd Bldg 59,04/24/2018,04/26/2018,State / County,"On this project at 1 Cyclotron Rd Bldg 59, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
524 Cragmont Ave,10/20/2014,06/03/2019,Residential,"On this project at 524 Cragmont Ave, Berkeley, CA 94708 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2120 Berkeley Way,05/18/2018,10/09/2020,Commercial,"On this project at 2120 Berkeley Way, Berkeley, CA 94704 there have been 0 permits filed, 7 preliminary notices  exchanged, 10 lien waivers exchanged between companies and 6 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
48 Shattuck Sq,07/18/2018,02/10/2021,Commercial,"On this project at 48 Shattuck Sq, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
578 Cleveland Ave,07/25/2018,03/03/2023,Commercial,"On this project at 578 Cleveland Ave, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 5 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2111 University Ave,08/21/2018,03/09/2023,Commercial,"On this project at 2111 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1901 Russell St,04/26/2018,04/26/2018,State / County,"On this project at 1901 Russell St, Berkeley, CA 94703 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2503 Haste St,08/22/2018,04/26/2021,Commercial,"On this project at 2503 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 27 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2631 Durant Ave,11/27/2018,09/05/2019,Commercial,"On this project at 2631 Durant Ave, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
380 MINOR HALL,04/27/2018,09/28/2019,State / County,"On this project at 380 MINOR HALL, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
804 Heinz Ave,09/14/2018,02/23/2023,Commercial,"On this project at 804 Heinz Ave, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Wareham Property Group, Inc"
2501 Haste St,10/29/2018,06/21/2019,Commercial,"On this project at 2501 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 14 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2446 McKinley Ave,10/11/2018,11/21/2019,State / County,"On this project at 2446 McKinley Ave, Berkeley, CA 94703 there have been 0 permits filed, 1 preliminary notice  exchanged, 10 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2072 Addison St,10/11/2018,05/17/2023,Commercial,"On this project at 2072 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
